Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TRF5;0800808-08.2021.4.05.8100;2024;{12496};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL};{ADVOCACIA GERAL DA UNIAO,ESTADO DO CEARA};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TRF5;0801346-10.2022.4.05.8308;2024;{12496};{ADVOCACIA GERAL DA UNIAO,ESTADO DE PERNAMBUCO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL}
TRF5;0800921-94.2023.4.05.8001;2024;{10671,12487};{ADVOCACIA GERAL DA UNIAO,DEFENSORIA PUBLICA DA UNIAO,SECRETARIA DE ESTADO DA FAZENDA};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO AUTONOMO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL};{ADVOCACIA GERAL DA UNIAO,DEFENSORIA PUBLICA DA UNIAO,SECRETARIA DE ESTADO DA FAZENDA};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO AUTONOMO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TRF5;0806174-73.2024.4.05.0000;2024;{12495};{ADVOCACIA GERAL DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL};;
TRF5;0800597-87.2022.4.05.8309;2024;{12496};{ADVOCACIA GERAL DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL};{ESTADO DE PERNAMBUCO};{ESTADO OU DISTRITO FEDERAL}
TRF5;0806225-84.2024.4.05.0000;2024;{12496};{MEDRADIUS CLINICA DE MEDICINA NUCLEAR E RADIOLOGIA DE MACEIO LTDA};{SOCIEDADE EMPRESARIA LIMITADA};{ADVOCACIA GERAL DA UNIAO,SECRETARIA DE ESTADO DA FAZENDA};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TRF5;0817468-43.2022.4.05.8100;2024;{12495};{ADVOCACIA GERAL DA UNIAO,DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO AUTONOMO FEDERAL};{ADVOCACIA GERAL DA UNIAO,ESTADO DO CEARA,DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO AUTONOMO FEDERAL}
TRF5;0800676-83.2023.4.05.8001;2024;{12496,9258};{ADVOCACIA GERAL DA UNIAO,DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO AUTONOMO FEDERAL};{SECRETARIA DE ESTADO DA FAZENDA};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TRF5;0802042-70.2024.4.05.0000;2024;{12513};{SECRETARIA DE ESTADO DA FAZENDA};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL}
TRF5;0801904-06.2024.4.05.0000;2024;{12503,10671};;;{ADVOCACIA GERAL DA UNIAO,ESTADO DO CEARA,MUNICIPIO DE FORTALEZA};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TRF5;0807749-19.2024.4.05.0000;2024;{12496,9196,12494,12495};;;{ADVOCACIA GERAL DA UNIAO,ESTADO DE PERNAMBUCO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TRF5;0807419-22.2024.4.05.0000;2024;{12494};;;{ADVOCACIA GERAL DA UNIAO,ESTADO DO CEARA};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TRF5;0810812-52.2024.4.05.0000;2024;{12495};;;{ADVOCACIA GERAL DA UNIAO,ESTADO DO RIO GRANDE DO NORTE};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TRF5;0815101-28.2024.4.05.0000;2024;{12495};;;{ADVOCACIA GERAL DA UNIAO,ESTADO DO CEARA,MUNICIPIO DE IPUEIRAS};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TRF5;0816429-90.2024.4.05.0000;2024;{12495};;;{ADVOCACIA GERAL DA UNIAO,ESTADO DO CEARA};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TRF5;0801457-81.2025.4.05.0000;2025;{12495};;;{ADVOCACIA GERAL DA UNIAO,ESTADO DO CEARA};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TRF5;0804700-60.2023.4.05.8000;2024;{12503};{ADVOCACIA GERAL DA UNIAO,SECRETARIA DE ESTADO DA FAZENDA};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL};;
TRF5;0809975-94.2024.4.05.0000;2024;{12497,12494};{MUNICIPIO DE LAVRAS DA MANGABEIRA};{MUNICIPIO};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL}
TRF5;0801771-61.2024.4.05.0000;2024;{12496,10653};{SECRETARIA DE ESTADO DA FAZENDA};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL};{ADVOCACIA GERAL DA UNIAO,DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO AUTONOMO FEDERAL}
TRF5;0802611-71.2024.4.05.0000;2024;{12498};;;{ADVOCACIA GERAL DA UNIAO,ESTADO DE PERNAMBUCO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TRF5;0806014-48.2024.4.05.0000;2024;{12494};{ADVOCACIA GERAL DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL};{ESTADO DO CEARA,DEFENSORIA PUBLICA DA UNIAO};{ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO AUTONOMO FEDERAL}
TRF5;0800195-72.2023.4.05.8405;2024;{12496};{ADVOCACIA GERAL DA UNIAO,ESTADO DO RIO GRANDE DO NORTE};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL};;
TRF5;0806282-05.2024.4.05.0000;2024;{12506};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL};{ADVOCACIA GERAL DA UNIAO,ESTADO DO CEARA,MUNICIPIO DE FORTALEZA};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TRF5;0801012-39.2023.4.05.8308;2024;{12502};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL};{ADVOCACIA GERAL DA UNIAO,ESTADO DE PERNAMBUCO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TRF5;0800938-31.2022.4.05.8401;2024;{10658,12502};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL};{ADVOCACIA GERAL DA UNIAO,ESTADO DO RIO GRANDE DO NORTE,MUNICIPIO DE AREIA BRANCA};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
